,영업 시간,가게명,가게 주소,업종,이미지url,카카오 url,별점,예측별점평균
269,매일 09:00 ~ 23:00,아필코 드메르점,광주 광산구 임방울대로 549 드메르웨딩홀 1층 (우)62244,카페,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FB57017A255E24F6986BA276966A572A7',https://place.map.kakao.com/473110129,2.0,3.3333333333333335
0,매일 11:00 ~ 22:00,상무초밥 상무점,광주 서구 운천로 253 1층 106호 (우)61948,"초밥,롤",'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F0EEDA46245DE4EECBB07C0A91536FBD7',https://place.map.kakao.com/1579058409,3.9655172413793105,3.32183908045977
126,매일 11:30 ~ 21:30(21:00 까지 입장가능),돈페 수완점,광주 광산구 풍영로200번길 81 (우)62225,"돈까스,우동",'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FED26C58E3D0F4B08BC5226411BF7F52E',https://place.map.kakao.com/22014964,3.125,3.25
60,월~목 17:00 ~ 24:00,황톳길 본점,광주 동구 동명로26번길 5-1 (우)61434,한식,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F8F82B215508F4CE6B434EC388B89F42F',https://place.map.kakao.com/12958056,4.25,3.25
222,매일 11:30 ~ 22:00,수진초밥,광주 북구 첨단연신로108번길 83 1층 (우)61085,"초밥,롤",'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FE8468A551D8347B0877725691E80CBD6',https://place.map.kakao.com/25448826,4.388888888888889,3.2222222222222223
296,수 12:00 ~ 18:00,화이트셔츠커피,광주 서구 월드컵4강로182번길 21 지하1층 (우)61976,커피전문점,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_1547575460',https://place.map.kakao.com/26818387,4.84375,3.21875
270,"첫째,셋째 일요일                                                                                    ",호남수산,광주 서구 운천로 103 (우)62002,회,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F91CA41CB3AEE4E6C97F1D03B02FCAB33',https://place.map.kakao.com/26905299,3.4,3.2
249,매일 10:00 ~ 22:00,문서방기운센풍천장어 수완본점,광주 광산구 임방울대로216번길 6-9 (우)62321,장어,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F252815390EB2499DAC7A136F75FE5793',https://place.map.kakao.com/26543338,3.6,3.2
43,화~일 11:00 ~ 18:00,남쪽마을돌짜장,광주 광산구 임곡로 523-7 (우)62463,중국요리,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FD4E00132469848EBBA300E8D1BE25AB7',https://place.map.kakao.com/432452313,4.36,3.2
284,"월,금요일                                                                                    ",뽀뽀통닭,광주 광산구 내상로15번길 86 1층 (우)62422,치킨,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F0D0457C0552E48C0A4D5BB42947C7082',https://place.map.kakao.com/21243883,3.9375,3.1875
