,영업 시간,가게명,가게 주소,업종,이미지url,카카오 url,별점,예측별점평균
283,매일 00:00 ~ 24:00,진미가람,광주 서구 상무중앙로28번길 18 (우)61963,갈비,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F8B5A69DADA9B49D090F021F5D6F2ADED',https://place.map.kakao.com/10417509,4.777777777777778,2.888888888888889
160,매일 11:00 ~ 21:00,연경 하남점,광주 광산구 하남산단3번로 133-8 지하1층 (우)62231,중국요리,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FAC44678D9E614081B5EEC8B2449B739D',https://place.map.kakao.com/151782683,3.4444444444444446,2.888888888888889
3,월~토 09:30 ~ 21:30,송정떡갈비 1호점,광주 광산구 광산로29번길 1 (우)62430,갈비,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FD5BEC9C344144F1BAA7FB8A7BC2ABF75',https://place.map.kakao.com/7960840,3.7422680412371134,2.88659793814433
5,화~일 11:30 ~ 21:30,다온,광주 북구 동운로201번길 68 (우)61258,한정식,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F145AB3BB7A094876B1417B7ABD729B16',https://place.map.kakao.com/2131086484,3.1142857142857143,2.8857142857142857
26,월~금 11:00 ~ 22:00,상무초밥 용봉점,광주 북구 설죽로 211 1층 (우)61106,"초밥,롤",'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F33326B045095482CBD3E89790679BC43',https://place.map.kakao.com/194154829,4.184615384615385,2.876923076923077
49,화~토 12:00 ~ 22:00,하지메,광주 서구 상무민주로 16 1층 (우)61970,참치회,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FD68268E5275646218F38C5DC9F80E9DC',https://place.map.kakao.com/27386489,2.5,2.875
162,매일 10:00 ~ 23:00,옹고집보쌈,광주 북구 저불로 18-4 1층 (우)61111,"족발,보쌈",'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F9C0BC808CB824F1B915F11E8E0A84E16',https://place.map.kakao.com/969560632,4.625,2.875
63,월~금 09:30 ~ 23:00,그런느낌,광주 광산구 수완로9번길 22-1 (우)62308,디저트카페,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F822490F8568E4E979E2AC300C11DA4A0',https://place.map.kakao.com/644832876,4.125,2.875
201,월~토 11:30 ~ 21:30,장수하늘소,광주 광산구 월계로 235-1 1층 장수하늘소 (우)62279,한식,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F66D67BDAAE8546E6AE13621F3BB0C480',https://place.map.kakao.com/2032476253,4.5,2.875
78,매일 12:00 ~ 22:00,티앗,광주 동구 동명로14번길 12 (우)61434,카페,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F40C3416DBE7D47A98933DC409A85851B',https://place.map.kakao.com/1969815297,4.217391304347826,2.869565217391304
251,매일 11:00 ~ 22:00,등촌 효천본점,광주 남구 효우로230번길 2 1층 (우)61764,한식,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FB18F8E84D626451886173AF17F23893E',https://place.map.kakao.com/11638854,3.2,2.8666666666666667
223,월~토 09:30 ~ 02:00,빅혼,광주 광산구 임방울대로 552 1층 (우)62245,테마카페,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FC776FC1657534157931153C6928FE587',https://place.map.kakao.com/770983718,4.857142857142857,2.857142857142857
119,화~일 11:50 ~ 23:50,백족발 본점,광주 광산구 왕버들로252번길 33 1층 (우)62250,"족발,보쌈",'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F649A1FD69F59409DBDE58715CFC4BECD',https://place.map.kakao.com/24847973,4.142857142857143,2.857142857142857
250,매일 11:30 ~ 23:30,무등수산,광주 광산구 첨단중앙로182번길 24-7 (우)62274,회,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FBBE51C55AB5F4C05A01E5C0BB14BAE2B',https://place.map.kakao.com/1801205420,3.0,2.857142857142857
148,월~토 11:00 ~ 02:00,원두막,광주 서구 상무중앙로 6-28 (우)61963,한식,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FEBFE6EF026124BFEAB25001B3C9BC9CE',https://place.map.kakao.com/12159218,4.428571428571429,2.857142857142857
86,매일 09:00 ~ 21:00,궁전제과 수완점,광주 광산구 사암로 426 (우)62234,"제과,베이커리",'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F09D17BEA4980459DBDE96EC5B9F84A1C',https://place.map.kakao.com/24203646,2.4285714285714284,2.857142857142857
287,매일 09:00 ~ 20:00,대성콩물,광주 북구 제봉로 272 (우)61236,국수,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F1A4312168AFD4A53B722C969F79D1F3A',https://place.map.kakao.com/2048465953,3.5757575757575757,2.8484848484848486
140,월~금 11:00 ~ 20:00,쿠우쿠우 광주하남점,광주 광산구 무진대로 272-8 오렌지파크몰 3층 (우)62364,쿠우쿠우,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F9F600601D01B4D0698E59BDDCA076C3A',https://place.map.kakao.com/191056557,2.923076923076923,2.8461538461538463
80,화~일 11:30 ~ 22:00,돈까스만드는남자 운암직영점,광주 북구 북문대로 88 2층 C201호 (우)61100,"돈까스,우동",'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FFA6631035F7849ACBE65B6E49BC1FE3B',https://place.map.kakao.com/842975692,4.3076923076923075,2.8461538461538463
307,월~토 17:00 ~ 01:30,황소알곱창,광주 남구 백운로 55 (우)61648,"곱창,막창",'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F887A7055A8DC48BCAE71B46724F4EEE8',https://place.map.kakao.com/26941171,1.7692307692307692,2.8461538461538463
157,매일 11:00 ~ 22:00,김서방국밥,광주 서구 화정로260번길 11-2 1층 (우)62047,국밥,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F1FD1AAF1E3964022AB17FD343258CADA',https://place.map.kakao.com/1119335901,4.461538461538462,2.8461538461538463
110,매일 11:30 ~ 21:00,꽃담샤브,광주 북구 첨단연신로 97 솔로몬타워 7층 (우)61087,"육류,고기",'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FCC0814E1113449AE8B56F097E663F1F8',https://place.map.kakao.com/24168624,1.6153846153846154,2.8461538461538463
81,화~일 09:00 ~ 22:30,대왕김밥초밥 전대정문점,광주 북구 자미로 55 (우)61220,분식,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F156DF73D4F69D7C72F',https://place.map.kakao.com/9718181,3.763157894736842,2.8421052631578947
262,월~토 06:00 ~ 20:00,시장국밥집,광주 광산구 광산로30번길 65 (우)62435,국밥,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F55B30D33225D4F22B71347AA561DBA74',https://place.map.kakao.com/8438756,4.555555555555555,2.8333333333333335
97,월~목 17:00 ~ 22:00,램앤솔트,광주 서구 상무연하로 50 에코노블 103호 (우)61949,"육류,고기",'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FA587FF811542433A8B118C5A8F4C48B4',https://place.map.kakao.com/1994680755,4.222222222222222,2.8333333333333335
286,매일 11:00 ~ 21:30,신락원 금호점,광주 서구 운천로 15 거성빌딩 5층 (우)62006,중국요리,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FC316CA3D49424ECDA55349017E515900',https://place.map.kakao.com/11110161,3.1666666666666665,2.8333333333333335
103,"월,수,목,금,토 16:00 ~ 24:00",농성화로,광주 서구 군분로221번길 2-16 1층 (우)61980,"육류,고기",'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FE17E6813B520480D975A56645F00CD8F',https://place.map.kakao.com/1744382074,4.333333333333333,2.8333333333333335
261,매일 11:00 ~ 20:30,명품상무팥죽 광주본점,광주 서구 마륵로 100 (우)61960,죽,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FD3E0F1C8065E4D18847B4D993EA41A03',https://place.map.kakao.com/9073032,3.5,2.8333333333333335
129,매일 11:30 ~ 21:30,민속촌 봉선점,광주 남구 봉선로 218 (우)61682,갈비,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F6A53C369E4FB478AAFA5CB6BF3232344',https://place.map.kakao.com/1560845715,3.888888888888889,2.8333333333333335
104,매일 06:00 ~ 22:30,창평국밥,광주 북구 천지인로 103 1층 (우)61131,국밥,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FC645B1703B8040299C8D4789A06792D2',https://place.map.kakao.com/9431507,4.304347826086956,2.8260869565217392
29,월~토 12:00 ~ 21:00,엄마네돼지찌개,광주 동구 문화전당로23번길 33 (우)61488,"찌개,전골",'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F202F393B4FCC601C3E',https://place.map.kakao.com/10575386,2.3333333333333335,2.8205128205128207
105,매일 11:00 ~ 22:00,거목한정식,광주 남구 천변좌로364번길 3-6 (우)61639,한정식,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F9077B4FDDFAC4472A583DD624948ECCC',https://place.map.kakao.com/10133147,2.272727272727273,2.8181818181818183
161,매일 09:00 ~ 21:00,궁전제과 진월점,광주 남구 서문대로 701 (우)61727,"제과,베이커리",'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FFFA076BDCBE54F3999A3717371463141',https://place.map.kakao.com/8823049,3.0625,2.8125
241,월~토 10:00 ~ 21:00,시골밥상,광주 광산구 평동로766번길 16 1층 (우)62420,한식,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F66966BE465D84F45B4224B97E8352948',https://place.map.kakao.com/12779373,5.0,2.8
294,매일 17:30 ~ 01:00,본참치 광주상무점,광주 서구 상무연하로 33 (우)61963,참치회,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FEE1B0A939B9E45A8AE72924205E4F75E',https://place.map.kakao.com/8324884,4.8,2.8
216,매일 11:30 ~ 02:00,대소양,광주 서구 상무민주로 4 1층 (우)61970,"곱창,막창",'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FE0B8E35C9C784AC388CFD2923AF682E1',https://place.map.kakao.com/615272546,3.2,2.8
309,매일 17:00 ~ 24:00,주노애참치,광주 서구 군분로 239-1 1층 (우)61980,참치회,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FF3BA2A215B734C1699DBB03C764F57B8',https://place.map.kakao.com/27144937,4.2,2.8
30,매일 11:00 ~ 22:00,영미오리탕 상무점,광주 서구 상무중앙로104번길 10 1층 (우)61947,오리,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FBDA648FE107E4162B55470D493389723',https://place.map.kakao.com/11887885,3.3448275862068964,2.793103448275862
217,매일 11:00 ~ 21:00,신락원 상무점,광주 서구 상무시민로 95-2 2층 (우)61947,중국요리,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F1B248956A6FC47009BB83658BAC353E6',https://place.map.kakao.com/9190274,2.857142857142857,2.7857142857142856
133,매일 16:30 ~ 01:00,매운날 양푼이매운갈비찜,광주 광산구 첨단중앙로106번길 42 1층 (우)62276,갈비,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F9018BFA715ED497AB1CF80048F9ACC1C',https://place.map.kakao.com/17028548,4.285714285714286,2.7857142857142856
163,매일 11:30 ~ 22:00,덤,광주 남구 봉선2로 104 (우)61686,"육류,고기",'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FAFDD97EC0F07419F83EBA464311A2ADB',https://place.map.kakao.com/12158464,5.0,2.7857142857142856
127,매일 10:00 ~ 21:00,매월흑염소가든,광주 서구 회재유통길 19-24 (우)62071,"육류,고기",'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FFFF0C2D2AF6E47BA91DC1DF121A1DC5A',https://place.map.kakao.com/9021743,3.111111111111111,2.7777777777777777
20,매일 11:30 ~ 21:20,나나방콕,광주 서구 상무자유로 180 대선빌딩 1층 (우)61964,태국음식,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FDB72D302A8764117ABC02A198E8478AB',https://place.map.kakao.com/1109234501,3.6666666666666665,2.7777777777777777
208,매일 11:30 ~ 21:00,원조용전식육식당,광주 북구 용전마을길 28 (우)61042,"육류,고기",'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F496525C59AAF4FD0A36056B10C3DBD16',https://place.map.kakao.com/18782368,2.1666666666666665,2.7777777777777777
193,매일 11:00 ~ 21:00,무두,광주 광산구 첨단강변로87번길 5 야스텍타워 2층 (우)62279,카페,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F270EEB29C6E94F0DB741C1AD689989EA',https://place.map.kakao.com/1219222265,3.0,2.7777777777777777
75,매일 11:00 ~ 22:00,테스팅노트,광주 서구 군분로159번길 13 1층 (우)62047,"스테이크,립",'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F351AA76AEBFB48EF8ACDF669597F0CDA',https://place.map.kakao.com/899069710,4.461538461538462,2.769230769230769
172,매일 11:30 ~ 21:30,어느멋진날,광주 북구 하서로483번길 2 5층 (우)61015,양식,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F2B853C8FF83449B595930A693AF59DEE',https://place.map.kakao.com/26432436,2.4615384615384617,2.769230769230769
151,매일 11:30 ~ 22:00,소코아,광주 광산구 수완로14번길 19 1층 (우)62305,일식집,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FE37EEDB7EABF44CFB32B6E8A1CD62AA5',https://place.map.kakao.com/320296058,4.0,2.769230769230769
293,매일 12:00 ~ 24:00,광주보쌈,광주 동구 서석로 29-5 (우)61483,"족발,보쌈",'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F202D173C4F599A8014',https://place.map.kakao.com/8774191,1.7692307692307692,2.769230769230769
290,매일 13:00 ~ 01:00,백두산 수완점,광주 광산구 수완로48번길 10 (우)62305,양꼬치,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F0419423CC18144A3852617B76E05E1DD',https://place.map.kakao.com/735571997,4.0,2.769230769230769
39,매일 11:30 ~ 22:00,옥과한우촌 상무점,광주 서구 내방로 39-1 1~3층 (우)61944,"육류,고기",'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F444E995EBA8043EAB160408D6114506B',https://place.map.kakao.com/8137471,2.966666666666667,2.7666666666666666
51,매일 11:00 ~ 21:00,광주옥1947,광주 서구 상무대로 1104-20 1층 (우)61981,냉면,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F12F58F7AABF447FAB3D81F7DE0BA362F',https://place.map.kakao.com/60825746,2.1818181818181817,2.757575757575758
207,매일 11:30 ~ 22:00,황솔촌 운암점,광주 북구 북문대로 167 2층 (우)61267,한식,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F6EE379C5B6D44D55995C1606C77EA6E9',https://place.map.kakao.com/563745887,4.803921568627451,2.7549019607843137
186,매일 12:00 ~ 22:00,예향계절한정식,광주 서구 상무평화로 131 사이버빌딩 2층 (우)61964,한정식,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F860A82D20C2144948161E54D4F269EFC',https://place.map.kakao.com/26816725,1.875,2.75
212,매일 09:30 ~ 23:00,준클라우드,광주 서구 상무누리로 5 (우)61955,카페,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FB41ECE7E52C54F4AA545F87ED7FDE676',https://place.map.kakao.com/1912873663,4.0,2.75
115,매일 16:00 ~ 23:30,머시기 쪽갈비생족발구이 쌍촌본점,광주 서구 월드컵4강로181번길 31 1층 (우)61968,갈비,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FDFDF981502F145DEB01E18F06DFDC13A',https://place.map.kakao.com/12679627,3.875,2.75
6,"월,수,목,금,토,일 10:00 ~ 22:30",궁전제과 충장점,광주 동구 충장로 93-6 (우)61482,"제과,베이커리",'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FD2ADB416000A4BFAB494B7667A9A8740',https://place.map.kakao.com/11701966,3.1634615384615383,2.75
137,"월,화,수,목,일 10:30 ~ 23:30",서플라이,광주 서구 상무자유로 32 1층 (우)61955,카페,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F418A0A69C1B64FA99DAB03D3DF4B72A4',https://place.map.kakao.com/400689105,4.125,2.75
143,매일 11:00 ~ 21:00,아날로그내방,광주 서구 내방로252번길 12 2층 (우)61967,이탈리안,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FBAA377578BF7460686CDAF569A55339F',https://place.map.kakao.com/596038042,3.883720930232558,2.744186046511628
4,매일 11:30 ~ 22:00,황솔촌 상무점,광주 서구 운천로 143 1층 (우)62002,한식,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F23640F3E563DD91102',https://place.map.kakao.com/23736803,4.368,2.736
70,매일 11:00 ~ 22:00,칸세이스시 상무본점,광주 서구 시청로60번길 21-6 지하1층 101호 (우)61948,"초밥,롤",'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FF8ACC8B53B494AE89447F3EE79A06067',https://place.map.kakao.com/219169535,4.426470588235294,2.735294117647059
11,매일 11:30 ~ 22:00,황솔촌 수완점,광주 광산구 장신로19번안길 23 (우)62223,한식,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F24284247563DDD5C06',https://place.map.kakao.com/26792051,4.351351351351352,2.72972972972973
245,매일 11:30 ~ 22:00,쌍촌명가낙지한마당,"광주 서구 월드컵4강로181번길 45 1,2층 (우)61968","해물,생선",'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F18586E3D4F70140936',https://place.map.kakao.com/15248747,3.0,2.727272727272727
302,월~토 17:00 ~ 04:00,베스트 진월본점,광주 남구 광복마을길 7 1층 (우)61728,"호프,요리주점",'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FFBA26CD32F8C4BB59F6A08F9F737B2DB',https://place.map.kakao.com/660668538,4.363636363636363,2.727272727272727
176,매일 11:30 ~ 22:30,어나더키친 상무점,광주 서구 시청로60번길 21-9 104호 (우)61948,양식,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F2F9D75B844334B74B232EE70A1ADABE1',https://place.map.kakao.com/27281770,1.8333333333333333,2.7222222222222223
13,매일 10:00 ~ 22:00,라라브레드 송정점,광주 광산구 광산로19번길 24 (우)62430,"제과,베이커리",'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F3CD2028FA3544E2E9F122C0AF868C671',https://place.map.kakao.com/2014559721,4.481481481481482,2.7160493827160495
85,월~금 11:00 ~ 22:00,쿠우쿠우 광주상무점,광주 서구 시청로50번길 3 5층 (우)61948,쿠우쿠우,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FF4562760C837484A959EEE32B87173C2',https://place.map.kakao.com/1500356252,3.892857142857143,2.7142857142857144
74,매일 10:30 ~ 21:30,시골집추어탕,광주 남구 화산로 101 2층 (우)61711,추어,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FD8032BB813F94DC3BBBCB9DD80BC7060',https://place.map.kakao.com/7973065,4.428571428571429,2.7142857142857144
22,매일 11:00 ~ 20:40,쌍교숯불갈비 송정점,광주 광산구 동곡로 462 (우)62454,갈비,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FF1BB599546754AAEAA31A0A81A88452C',https://place.map.kakao.com/658400183,3.0476190476190474,2.7142857142857144
83,매일 11:30 ~ 21:30,아리랑한정식,광주 서구 천변좌하로 270 (우)61944,한정식,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F818F0AED9F1E4C908194A5690B0D1789',https://place.map.kakao.com/27270229,3.857142857142857,2.7142857142857144
36,매일 08:30 ~ 24:00,서플라이 첨단점,"광주 광산구 임방울대로826번길 47 1층 113,114호 (우)62279",카페,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FC79F56AA033A462CB2302CC12E939329',https://place.map.kakao.com/835149001,4.0,2.7
8,매일 11:00 ~ 23:00,득량만횟집,광주 북구 동문대로97번길 81 (우)61193,회,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FA433603B5F274E58990C79EDD1321523',https://place.map.kakao.com/10366663,4.0,2.6956521739130435
95,"월,수,목,금,토,일 11:30 ~ 22:00",다연닭갈비,광주 광산구 목련로153번안길 46-3 (우)62326,닭요리,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FBEFAB71895734886860C6AA543B40460',https://place.map.kakao.com/18691047,4.472222222222222,2.6944444444444446
203,매일 00:00 ~ 24:00,짬뽕지존 광주매월점,광주 서구 서광주로 31 1층 (우)62010,중국요리,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F1DF9E31DBDCC408A897F01B560332D7E',https://place.map.kakao.com/723030513,3.9166666666666665,2.6944444444444446
174,화~일 11:00 ~ 22:00,르시엘블루 상무점,광주 서구 상무대로 718 (우)61999,이탈리안,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F6F083DB4969E4B059D8869BBC2B9944F',https://place.map.kakao.com/8358432,3.3076923076923075,2.6923076923076925
179,매일 11:00 ~ 21:00,석암돌솥밥,광주 북구 대천로139번길 8-1 (우)61125,한식,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F36982BE58A354E64A40D35AD774781AA',https://place.map.kakao.com/9157649,3.230769230769231,2.6923076923076925
54,매일 11:30 ~ 15:00,수자타,광주 동구 동산길7번길 3 (우)61494,채식뷔페,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F53B81B984F4747BB84E2ACEB12F52CF8',https://place.map.kakao.com/17965543,4.384615384615385,2.6923076923076925
191,매일 09:00 ~ 21:00(재료 소진 시 조기마감),소맥베이커리,광주 동구 문화전당로26번길 10-2 (우)61486,"제과,베이커리",'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F7CE7490407E54C85BCC671F189B045C4',https://place.map.kakao.com/24839815,3.6315789473684212,2.6842105263157894
246,매일 10:30 ~ 21:30,빛고을떡갈비,광주 광산구 광산로29번길 14 (우)62430,갈비,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F130DEA1B4BD7BF0F79',https://place.map.kakao.com/10456191,3.04,2.68
79,매일 11:50 ~ 21:00,목하식당,광주 동구 동명로25번길 6 1층 (우)61430,일식,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F6D155634D65D43F199B80E637C9D9E72',https://place.map.kakao.com/1101299229,3.6666666666666665,2.6666666666666665
189,매일 10:00 ~ 22:00,삼희불낙 상무본점,광주 서구 상무누리로 143 1층 (우)61953,"해물,생선",'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FB4CC7AE778184189B3FF8B6210405207',https://place.map.kakao.com/163939822,2.7777777777777777,2.6666666666666665
285,매일 11:30 ~ 24:00,하남낙지마당,광주 광산구 사암로216번길 10-13 (우)62355,"해물,생선",'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F286F48C6AFE84B3DB7B6A13B3CA2BA9B',https://place.map.kakao.com/10096868,3.466666666666667,2.6666666666666665
